0,1,2,3,4,5,6,7,8,9
Western Europe,Sulphites/Metabisulphites,Pet Care,Tonnes,6.336,6.485,6.552,6.576,6.638,6.696
Western Europe,Tocopherols,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Tocopherols,Pet Care,Tonnes,7.314,7.454,7.494,7.456,7.503,7.584
Western Europe,Other Preservatives/Antioxidants,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Other Preservatives/Antioxidants,Pet Care,Tonnes,40.980,41.778,42.084,41.958,42.183,42.508
Western Europe,Proteins,Pet Care,% Breakdown,07,07,07,07,07,07
Western Europe,Proteins,Pet Care,Tonnes,439.796,448.099,452.309,451.459,451.944,453.783
Western Europe,Animal Derived Proteins,Pet Care,% Breakdown,02,02,02,02,02,02
Western Europe,Animal Derived Proteins,Pet Care,Tonnes,106.002,107.921,108.868,108.623,108.624,108.929
Western Europe,Albumin,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Albumin,Pet Care,Tonnes,19,20,20,21,22,22
Western Europe,Casein,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Casein,Pet Care,Tonnes,7.352,7.479,7.540,7.527,7.548,7.572
Western Europe,Caseinates,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Caseinates,Pet Care,Tonnes,4.575,4.661,4.699,4.674,4.680,4.714
Western Europe,Collagen peptides,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Collagen peptides,Pet Care,Tonnes,1.798,1.844,1.878,1.886,1.896,1.901
Western Europe,Egg White,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Egg White,Pet Care,Tonnes,34.455,35.080,35.405,35.315,35.287,35.315
Western Europe,Elastin,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Elastin,Pet Care,Tonnes,04,04,04,04,04,04
Western Europe,Insect Protein,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Insect Protein,Pet Care,Tonnes,43.151,43.906,44.263,44.165,44.130,44.230
Western Europe,Milk Protein Concentrate,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Milk Protein Concentrate,Pet Care,Tonnes,13.124,13.372,13.486,13.461,13.512,13.636
Western Europe,Whey Protein Concentrate,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Whey Protein Concentrate,Pet Care,Tonnes,967,991,1.004,1.002,991,986
Western Europe,Whey Protein Isolate,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Whey Protein Isolate,Pet Care,Tonnes,558,566,569,569,556,549
Western Europe,Non-Animal Derived Proteins,Pet Care,% Breakdown,04,04,04,04,04,04
Western Europe,Non-Animal Derived Proteins,Pet Care,Tonnes,254.366,259.122,261.581,261.033,261.199,262.194
Western Europe,Chickpea,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Chickpea,Pet Care,Tonnes,14.800,15.099,15.268,15.284,15.335,15.450
Western Europe,Fava Bean,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Fava Bean,Pet Care,Tonnes,7.667,7.782,7.852,7.823,7.750,7.702
Western Europe,Gluten,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Gluten,Pet Care,Tonnes,22.287,22.719,22.926,22.881,22.911,23.004
Western Europe,Mycoprotein,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Mycoprotein,Pet Care,Tonnes,643,647,652,640,624,617
Western Europe,Pea Protein Isolate,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Pea Protein Isolate,Pet Care,Tonnes,4.349,4.414,4.463,4.465,4.427,4.418
Western Europe,Pea Protein Concentrate,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Pea Protein Concentrate,Pet Care,Tonnes,15.216,15.527,15.705,15.717,15.803,15.934
Western Europe,Potato Protein,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Potato Protein,Pet Care,Tonnes,16.138,16.437,16.573,16.543,16.608,16.703
Western Europe,Soy Protein Concentrate,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Soy Protein Concentrate,Pet Care,Tonnes,52.822,53.763,54.250,54.009,53.952,54.128
Western Europe,Soy Protein Isolate,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Soy Protein Isolate,Pet Care,Tonnes,26.697,27.166,27.416,27.327,27.297,27.333
